personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName,Q
1626164,Devin,Booker,D. Booker,devin-booker,G,,,12:00,5,9,0.556,2,3,0.667,0,0,0.0,1,0,1,1,0,0,2,2,12,-1.0,Suns,3
101108,Chris,Paul,C. Paul,chris-paul,G,,,9:03,4,5,0.8,2,2,1.0,0,0,0.0,0,0,0,2,1,0,0,0,10,1.0,Suns,3
1626166,Cameron,Payne,C. Payne,cameron-payne,,,,3:06,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,0,0,-2.0,Suns,3
1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,4:04,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,0.0,Suns,3
1628470,Torrey,Craig,T. Craig,torrey-craig,,,,2:16,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,1.0,Suns,3
1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,0:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2.0,Suns,3
1627846,Abdel,Nader,A. Nader,abdel-nader,,,,0:05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Suns,3
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,7:41,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Bucks,4
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,10:34,5,6,0.833,0,1,0.0,0,0,0.0,0,0,0,1,0,1,1,1,10,5.0,Bucks,4
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,4:19,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0.0,Bucks,4
